Date and Time,City,Weather,Temperature (F),Wind (mph),Car Accidents,,,,,
3/1/2025 4:30pm,Gainesville,Clear,78.28,12.66,6,,,,,
3/1/2025 4:30pm,Orlando,Clear,73.26,10.36,15,,,,,
3/1/2025 4:30pm,Tampa,Cloudy,69.62,6.91,16,,,,,
3/1/2025 4:30pm,Fort Myers,Clear,74.66,10.36,0,,,,,
3/1/2025 4:30pm,Miami,Cloudy,78.26,11.5,8,,,,,
3/2/2025 7:00pm,Tallahassee,Clear,57.33,4.61,1,,,,,
3/2/2025 7:00pm,Jacksonville,Cloudy,53.46,14.97,2,,,,,
3/2/2025 7:00pm,Gainesville,Clear,60.71,1.99,0,,,,,
3/2/2025 7:00pm,Orlando,Clear,63.75,14.97,13,,,,,
3/2/2025 7:00pm,Tampa,Clear,64.83,6.91,9,,,,,
3/2/2025 7:00pm,Fort Myers,Cloudy,67.96,1.01,1,,,,,
3/2/2025 7:00pm,Miami,Cloudy,73.29,11.5,6,,,,,
3/3/2025 3:45pm,Tallahassee,Cloudy,66.81,3,1,,,,,
3/3/2025 3:45pm,Jacksonville,Cloudy,65.53,13.8,4,,,,,
3/3/2025 3:45pm,Gainesville,Cloudy,72.84,11.5,0,,,,,
3/3/2025 3:45pm,Orlando,Cloudy,74.77,12.66,18,,,,,
3/3/2025 3:45pm,Tampa,Clear,77.72,5.75,22,,,,,
3/3/2025 3:45pm,Fort Myers,Clear,76.16,6.91,0,,,,,
3/3/2025 3:45pm,Miami,Cloudy,77.27,14.97,7,,,,,
3/4/2025 4:20pm,Tallahassee,Cloudy,76.68,19.57,2,,,,,
3/4/2025 4:20pm,Jacksonville,Cloudy,73.71,21.85,3,,,,,
3/4/2025 4:20pm,Gainesville,Cloudy,77.99,12.66,2,,,,,
3/4/2025 4:20pm,Orlando,Cloudy,75.54,19.57,15,,,,,
3/4/2025 4:20pm,Tampa,Cloudy,80.82,11.5,18,,,,,
3/4/2025 4:20pm,Fort Myers,Cloudy,79.63,13.8,0,,,,,
3/4/2025 4:20pm,Miami,Cloudy,74.41,20.71,20,,,,,
3/5/2025 4:30pm,Tallahassee,Clear,73.71,27.63,0,,,,,
3/5/2025 4:30pm,Jacksonville,Cloudy,78.39,21.85,5,,,,,
3/5/2025 4:30pm,Gainesville,Cloudy,74.48,5.99,3,,,,,
3/5/2025 4:30pm,Orlando,Cloudy,71.33,13.8,14,,,,,
3/5/2025 4:30pm,Tampa,Cloudy,71.74,13.8,18,,,,,
3/5/2025 4:30pm,Fort Myers,Cloudy,72.72,19.57,2,,,,,
3/5/2025 4:30pm,Miami,Cloudy,82.33,17.27,15,,,,,
3/6/2025 3:00pm,Tallahassee,Smokey,64.65,18.41,1,,,,,
3/6/2025 3:00pm,Jacksonville,Cloudy,65.3,23.02,4,,,,,
3/6/2025 3:00pm,Gainesville,Clear,66.74,13.8,3,,,,,
3/6/2025 3:00pm,Orlando,Clear,68.29,17.27,14,,,,,
3/6/2025 3:00pm,Tampa,Clear,64.26,17.27,17,,,,,
3/6/2025 3:00pm,Fort Myers,Clear,68.83,17.27,0,,,,,
3/6/2025 3:00pm,Miami,Clear,76.28,5.99,11,,,,,
3/7/2025 6:00pm,Tallahassee,Cloudy,63.46,5.99,2,,,,,
3/7/2025 6:00pm,Jacksonville,Cloudy,66.72,9.22,9,,,,,
3/7/2025 6:00pm,Gainesville,Cloudy,71.2,1.01,2,,,,,
3/7/2025 6:00pm,Orlando,Clear,74.68,9.22,19,,,,,
3/7/2025 6:00pm,Tampa,Clear,71.49,8.05,21,,,,,
3/7/2025 6:00pm,Fort Myers,Clear,71.06,10.36,3,,,,,
3/7/2025 6:00pm,Miami,Cloudy,72.54,9.22,24,,,,,
3/8/2025 11:30am,Tallahassee,Cloudy,64.18,1.01,2,,,,,
3/8/2025 11:30am,Jacksonville,Cloudy,65.03,6.91,1,,,,,
3/8/2025 11:30am,Gainesville,Rainy,62.06,4.61,2,,,,,
3/8/2025 11:30am,Orlando,Clear,72.93,5.01,14,,,,,
3/8/2025 11:30am,Tampa,Cloudy,71.91,12.66,3,,,,,
3/8/2025 11:30am,Fort Myers,Cloudy,75.83,10.36,0,,,,,
3/8/2025 11:30am,Miami,Cloudy,80.33,8.05,9,,,,,
3/9/2025 4:50pm,Tallahassee,Rainy,66.9,1.99,3,,,,,
3/9/2025 4:50pm,Jacksonville,Misty,62.46,12.66,0,,,,,
3/9/2025 4:50pm,Gainesville,Cloudy,74.8,9.22,2,,,,,
3/9/2025 4:50pm,Orlando,Cloudy,82.63,5.75,8,,,,,
3/9/2025 4:50pm,Tampa,Cloudy,80.73,13.8,16,,,,,
3/9/2025 4:50pm,Fort Myers,Cloudy,82.06,12.66,1,,,,,
3/9/2025 4:50pm,Miami,Cloudy,84.61,11.5,7,,,,,
3/10/2025 5:00pm,Tallahassee,Cloudy,58.6,13.8,0,,,,,
3/10/2025 5:00pm,Jacksonville,Cloudy,70.09,20.71,6,,,,,
3/10/2025 5:00pm,Gainesville,Cloudy,67.87,18.41,2,,,,,
3/10/2025 5:00pm,Orlando,Cloudy,73.94,21.85,12,,,,,
3/10/2025 5:00pm,Tampa,Cloudy,68.86,18.41,16,,,,,
3/10/2025 5:00pm,Fort Myers,Cloudy,70.48,16.11,0,,,,,
3/10/2025 5:00pm,Miami,Cloudy,81.63,19.57,20,,,,,
3/11/2025 3:15pm,Tallahassee,Clear,75.74,5.99,0,,,,,
3/11/2025 3:15pm,Jacksonville,Clear,74.75,4.61,4,,,,,
3/11/2025 3:15pm,Gainesville,Clear,76.62,1.01,1,,,,,
3/11/2025 3:15pm,Orlando,Clear,76.51,7,8,,,,,
3/11/2025 3:15pm,Tampa,Clear,73.8,12.66,15,,,,,
3/11/2025 3:15pm,Fort Myers,Clear,75.76,9.22,0,,,,,
3/11/2025 3:15pm,Miami,Clear,76.64,17.27,9,,,,,
3/12/2025 3:45pm,Tallahassee,Clear,77.38,8.05,2,,,,,
3/12/2025 3:45pm,Jacksonville,Clear,78.91,8.05,4,,,,,
3/12/2025 3:45pm,Gainesville,Clear,79.2,11.5,5,,,,,
3/12/2025 3:45pm,Orlando,Clear,78.04,4.61,11,,,,,
3/12/2025 3:45pm,Tampa,Clear,75.34,10.36,23,,,,,
3/12/2025 3:45pm,Fort Myers,Clear,78.93,3.44,2,,,,,
3/12/2025 3:45pm,Miami,Clear,78.4,6.91,12,,,,,
3/13/2025 4:00pm,Tallahassee,Cloudy,73,5.99,2,,,,,
3/13/2025 4:00pm,Jacksonville,Clear,78.51,8.99,6,,,,,
3/13/2025 4:00pm,Gainesville,Clear,78.6,3,3,,,,,
3/13/2025 4:00pm,Orlando,Clear,77.45,7,11,,,,,
3/13/2025 4:00pm,Tampa,Cloudy,73.83,12.48,20,,,,,
3/13/2025 4:00pm,Fort Myers,Clear,79.2,13.82,1,,,,,
3/13/2025 4:00pm,Miami,Clear,78.55,1.99,26,,,,,
3/14/2025 5:00pm,Tallahassee,Cloudy,78.64,11.5,1,,,,,
3/14/2025 5:00pm,Jacksonville,Cloudy,74.43,11.5,4,,,,,
3/14/2025 5:00pm,Gainesville,Clear,82.44,3,8,,,,,
3/14/2025 5:00pm,Orlando,Cloudy,81.59,13.8,22,,,,,
3/14/2025 5:00pm,Tampa,Cloudy,81.73,8.05,29,,,,,
3/14/2025 5:00pm,Fort Myers,Clear,84.16,6.91,1,,,,,
3/14/2025 5:00pm,Miami,Cloudy,80.69,13.8,16,,,,,
3/15/2025 4:30pm,Tallahassee,Cloudy,77,17.27,0,,,,,
3/15/2025 4:30pm,Jacksonville,Cloudy,80.74,21.85,3,,,,,
3/15/2025 4:30pm,Gainesville,Cloudy,84.88,12.66,1,,,,,
3/15/2025 4:30pm,Orlando,Cloudy,86.61,14.97,17,,,,,
3/15/2025 4:30pm,Tampa,Cloudy,85.62,18.41,8,,,,,
3/15/2025 4:30pm,Fort Myers,Cloudy,85.33,17.27,1,,,,,
3/15/2025 4:30pm,Miami,Cloudy,80.13,17.27,16,,,,,
3/16/2025 11:00am,Tallahassee,Cloudy,71.76,5.75,1,,,,,
3/16/2025 11:00am,Jacksonville,Cloudy,73.76,21.85,0,,,,,
3/16/2025 11:00am,Gainesville,Cloudy,73.06,11.5,0,,,,,
3/16/2025 11:00am,Orlando,Cloudy,77.05,17.27,6,,,,,
3/16/2025 11:00am,Tampa,Cloudy,77.63,13.8,1,,,,,
3/16/2025 11:00am,Fort Myers,Cloudy,80.65,12.66,0,,,,,
3/16/2025 11:00am,Miami,Cloudy,81.01,20.71,8,,,,,
3/17/2025 10:45pm,Tallahassee,Clear,53.94,4.61,0,,,,,
3/17/2025 10:45pm,Jacksonville,Clear,55.89,5.75,1,,,,,
3/17/2025 10:45pm,Gainesville,Clear,51.66,5.75,2,,,,,
3/17/2025 10:45pm,Orlando,Clear,58.42,14.97,2,,,,,
3/17/2025 10:45pm,Tampa,Clear,59.56,10.36,5,,,,,
3/17/2025 10:45pm,Fort Myers,Clear,59.49,12.66,0,,,,,
3/17/2025 10:45pm,Miami,Clear,64.92,14.97,3,,,,,
3/18/2025 3:30pm,Tallahassee,Smokey,77.99,5.75,3,,,,,
3/18/2025 3:30pm,Jacksonville,Clear,70.95,9.22,0,,,,,
3/18/2025 3:30pm,Gainesville,Clear,76.75,3,3,,,,,
3/18/2025 3:30pm,Orlando,Clear,77.25,11.5,10,,,,,
3/18/2025 3:30pm,Tampa,Clear,77.23,10.36,15,,,,,
3/18/2025 3:30pm,Fort Myers,Clear,79.2,11.5,1,,,,,
3/18/2025 3:30pm,Miami,Cloudy,77.34,13.8,19,,,,,
3/19/2025 3:45pm,Tallahassee,Smokey,80.42,10.36,0,,,,,
3/19/2025 3:45pm,Jacksonville,Cloudy,80.94,9.22,6,,,,,
3/19/2025 3:45pm,Gainesville,Clear,82.8,3.44,1,,,,,
3/19/2025 3:45pm,Orlando,Clear,82.27,3.44,15,,,,,
3/19/2025 3:45pm,Tampa,Clear,80.35,6.91,14,,,,,
3/19/2025 3:45pm,Fort Myers,Clear,80.73,10.36,1,,,,,
3/19/2025 3:45pm,Miami,Cloudy,79.36,8.05,6,,,,,
3/20/2025 6:00pm,Tallahassee,Clear,65.1,5.99,2,,,,,
3/20/2025 6:00pm,Jacksonville,Cloudy,70.47,11.99,5,,,,,
3/20/2025 6:00pm,Gainesville,Cloudy,70.02,3,2,,,,,
3/20/2025 6:00pm,Orlando,Cloudy,72.54,19.57,18,,,,,
3/20/2025 6:00pm,Tampa,Cloudy,70.57,11.5,33,,,,,
3/20/2025 6:00pm,Fort Myers,Cloudy,74.3,3,0,,,,,
3/20/2025 6:00pm,Miami,Cloudy,82.11,5.99,27,,,,,
3/21/2025 9:00pm,Tallahassee,Clear,55.53,1.01,1,,,,,
3/21/2025 9:00pm,Jacksonville,Clear,54.36,1.99,2,,,,,
3/21/2025 9:00pm,Gainesville,Clear,53.71,3.18,3,,,,,
3/21/2025 9:00pm,Orlando,Clear,54.63,5.01,15,,,,,
3/21/2025 9:00pm,Tampa,Clear,56.79,5.75,6,,,,,
3/21/2025 9:00pm,Fort Myers,Clear,58.21,8.05,1,,,,,
3/21/2025 9:00pm,Miami,Cloudy,62.53,1.99,18,,,,,
3/22/2025 12:15pm,Tallahassee,Clear,65.52,9.22,1,,,,,
3/22/2025 12:15pm,Jacksonville,Clear,65.48,8.05,1,,,,,
3/22/2025 12:15pm,Gainesville,Clear,65.1,4.91,5,,,,,
3/22/2025 12:15pm,Orlando,Clear,66.96,5.99,9,,,,,
3/22/2025 12:15pm,Tampa,Cloudy,66.65,5.75,7,,,,,
3/22/2025 12:15pm,Fort Myers,Clear,69.49,8.05,1,,,,,
3/22/2025 12:15pm,Miami,Cloudy,73.29,5.75,8,,,,,
3/23/2025 11:00am,Tallahassee,Cloudy,68.07,1.01,0,,,,,
3/23/2025 11:00am,Jacksonville,Cloudy,67.14,1.01,2,,,,,
3/23/2025 11:00am,Gainesville,Cloudy,66.69,1.99,0,,,,,
3/23/2025 11:00am,Orlando,Cloudy,67.95,3,4,,,,,
3/23/2025 11:00am,Tampa,Clear,67.24,4.61,2,,,,,
3/23/2025 11:00am,Fort Myers,Cloudy,71.73,5.88,0,,,,,
3/23/2025 11:00am,Miami,Cloudy,74.48,3,8,,,,,
3/24/2025 4:45pm,Tallahassee,Cloudy,69.82,14.97,0,,,,,
3/24/2025 4:45pm,Jacksonville,Cloudy,77.11,11.5,7,,,,,
3/24/2025 4:45pm,Gainesville,Cloudy,78.58,9.22,4,,,,,
3/24/2025 4:45pm,Orlando,Cloudy,80.65,9.22,22,,,,,
3/24/2025 4:45pm,Tampa,Cloudy,79.5,16.11,15,,,,,
3/24/2025 4:45pm,Fort Myers,Cloudy,80.47,11.5,0,,,,,
3/24/2025 4:45pm,Miami,Cloudy,83.03,13.8,18,,,,,
3/25/2025 4:20pm,Tallahassee,Smokey,77.16,10.36,2,,,,,
3/25/2025 4:20pm,Jacksonville,Cloudy,78.96,5.75,6,,,,,
3/25/2025 4:20pm,Gainesville,Cloudy,79.74,5.75,5,,,,,
3/25/2025 4:20pm,Orlando,Cloudy,79.9,4.61,19,,,,,
3/25/2025 4:20pm,Tampa,Cloudy,81.54,9.22,19,,,,,
3/25/2025 4:20pm,Fort Myers,Clear,80.47,12.66,1,,,,,
3/25/2025 4:20pm,Miami,Rainy,80.44,5.75,18,,,,,
3/26/2025 4:45pm,Tallahassee,Clear,81.34,10.36,1,,,,,
3/26/2025 4:45pm,Jacksonville,Smokey,79.74,11.5,5,,,,,
3/26/2025 4:45pm,Gainesville,Cloudy,82.27,9.22,3,,,,,
3/26/2025 4:45pm,Orlando,Clear,83.59,8.05,10,,,,,
3/26/2025 4:45pm,Tampa,Cloudy,84.31,11.5,27,,,,,
3/26/2025 4:45pm,Fort Myers,Clear,82.45,13.8,0,,,,,
3/26/2025 4:45pm,Miami,Cloudy,77.67,12.66,9,,,,,
3/27/2025 3:00pm,Tallahassee,Cloudy,80.31,3,4,,,,,
3/27/2025 3:00pm,Jacksonville,Cloudy,75.97,14.97,2,,,,,
3/27/2025 3:00pm,Gainesville,Clear,80.71,4.61,2,,,,,
3/27/2025 3:00pm,Orlando,Clear,80.78,5.01,8,,,,,
3/27/2025 3:00pm,Tampa,Clear,84.52,11.5,13,,,,,
3/27/2025 3:00pm,Fort Myers,Cloudy,86.29,12.66,0,,,,,
3/27/2025 3:00pm,Miami,Clear,81.82,3,11,,,,,
3/28/2025 4:00pm,Tallahassee,Smokey,81.7,11.5,2,,,,,
3/28/2025 4:00pm,Jacksonville,Cloudy,78.31,19.57,8,,,,,
3/28/2025 4:00pm,Gainesville,Cloudy,81.32,12.66,2,,,,,
3/28/2025 4:00pm,Orlando,Cloudy,79.27,18.41,14,,,,,
3/28/2025 4:00pm,Tampa,Cloudy,82.76,14.97,16,,,,,
3/28/2025 4:00pm,Fort Myers,Cloudy,83.53,17.27,1,,,,,
3/28/2025 4:00pm,Miami,Cloudy,79.02,27.63,19,,,,,
3/29/2025 2:30pm,Tallahassee,Cloudy,79.39,17.27,3,,,,,
3/29/2025 2:30pm,Jacksonville,Cloudy,76.89,17.27,4,,,,,
3/29/2025 2:30pm,Gainesville,Cloudy,81.18,8.05,4,,,,,
3/29/2025 2:30pm,Orlando,Cloudy,82.38,16.11,12,,,,,
3/29/2025 2:30pm,Tampa,Cloudy,83.82,12.66,12,,,,,
3/29/2025 2:30pm,Fort Myers,Cloudy,83.62,14.97,0,,,,,
3/29/2025 2:30pm,Miami,Misty,76.71,14.97,7,,,,,
3/30/2025 5:15pm,Tallahassee,Cloudy,73.18,5.75,0,,,,,
3/30/2025 5:15pm,Jacksonville,Misty,70.79,4.61,10,,,,,
3/30/2025 5:15pm,Gainesville,Rainy,67.89,3.44,5,,,,,
3/30/2025 5:15pm,Orlando,Clear,77.95,16.11,14,,,,,
3/30/2025 5:15pm,Tampa,Cloudy,84.2,16.11,8,,,,,
3/30/2025 5:15pm,Fort Myers,Clear,84.02,14.97,0,,,,,
3/30/2025 5:15pm,Miami,Cloudy,73.8,10.36,32,,,,,
3/31/2025 4:45pm,Tallahassee,Rainy,66.04,4.61,5,,,,,
3/31/2025 4:45pm,Jacksonville,Cloudy,85.06,17.27,6,,,,,
3/31/2025 4:45pm,Gainesville,Cloudy,81.57,13.8,3,,,,,
3/31/2025 4:45pm,Orlando,Cloudy,87.67,9.22,15,,,,,
3/31/2025 4:45pm,Tampa,Cloudy,84.99,12.66,22,,,,,
3/31/2025 4:45pm,Fort Myers,Clear,86.2,12.66,1,,,,,
3/31/2025 4:45pm,Miami,Cloudy,84.9,16.11,17,,,,,
4/01/2025 4:30pm,Tallahassee,Cloudy,83.53,5.75,1,,,,,
4/01/2025 4:30pm,Jacksonville,Cloudy,86.72,10.36,1,,,,,
4/01/2025 4:30pm,Gainesville,Rainy,83.39,10.36,0,,,,,
4/01/2025 4:30pm,Orlando,Cloudy,89.22,4.61,10,,,,,
4/01/2025 4:30pm,Tampa,Cloudy,86.65,9.22,18,,,,,
4/01/2025 4:30pm,Fort Myers,Clear,89.35,10.36,0,,,,,
4/01/2025 4:30pm,Miami,Cloudy,85.06,11.5,15,,,,,
4/02/2025 3:00pm,Tallahassee,Cloudy,87.31,13.8,3,,,,,
4/02/2025 3:00pm,Jacksonville,Cloudy,86.83,18.41,2,,,,,
4/02/2025 3:00pm,Gainesville,Clear,90.46,14.97,4,,,,,
4/02/2025 3:00pm,Orlando,Cloudy,87.76,16.11,8,,,,,
4/02/2025 3:00pm,Tampa,Cloudy,90.45,16.11,8,,,,,
4/02/2025 3:00pm,Fort Myers,Cloudy,89.22,16.11,1,,,,,
4/02/2025 3:00pm,Miami,Cloudy,84.15,19.57,13,,,,,
4/03/2025 5:00pm,Tallahassee,Cloudy,82.27,14.97,1,,,,,
4/03/2025 5:00pm,Jacksonville,Cloudy,85.78,17.27,1,,,,,
4/03/2025 5:00pm,Gainesville,Clear,89.51,1.01,3,,,,,
4/03/2025 5:00pm,Orlando,Cloudy,86.27,16.11,16,,,,,
4/03/2025 5:00pm,Tampa,Cloudy,89.67,12.66,24,,,,,
4/03/2025 5:00pm,Fort Myers,Cloudy,88.48,16.11,3,,,,,
4/03/2025 5:00pm,Miami,Cloudy,82.98,18.41,13,,,,,
4/04/2025 10:00pm,Tallahassee,Clear,72.81,3.29,2,,,,,
4/04/2025 10:00pm,Jacksonville,Clear,73.36,10.36,1,,,,,
4/04/2025 10:00pm,Gainesville,Clear,77.92,6.91,2,,,,,
4/04/2025 10:00pm,Orlando,Cloudy,75.92,12.66,14,,,,,
4/04/2025 10:00pm,Tampa,Cloudy,80.08,4.61,12,,,,,
4/04/2025 10:00pm,Fort Myers,Clear,78.73,12.66,0,,,,,
4/04/2025 10:00pm,Miami,Cloudy,77.85,12.66,4,,,,,
